Abbottabad(34.15|73.2167),Islamabad(33.6989|73.0369)
Mardan(34.1958|72.0447),"Peshawar(34|71.5), Swabi(34.1167|72.4667), Swat(35.2227|72.4258), Malakand(34.5656|71.9304), Dir(35.1977|71.8749), Mohmand(34.5356|71.2874), Charsadda(34.1453|71.7308)"
Mianwali(32.5853|71.5436),"Attock(33.7667|72.3667), Jhelum(32.9333|73.7333), Sargodha(32.0836|72.6711), Bhakkar(31.6333|71.0667), Khushab(32.2917|72.35), Rawalpindi(33.6007|73.0679)"
Mohmand(34.5356|71.2874),"Malakand(34.5656|71.9304), Mardan(34.1958|72.0447)"
Multan(30.1978|71.4711),"Muzaffargarh(30.0703|71.1933), Bahawalpur(29.3956|71.6722), Sahiwal(30.6706|73.1064), Khanewal(30.3017|71.9321), Okara(30.81|73.4597), Rahim Yar Khan(28.4202|70.2952)"
Muzaffargarh(30.0703|71.1933),"Dera Ghazi Khan(30.05|70.6333), Multan(30.1978|71.4711)"
Nawabshah(26.2442|68.41),"Hyderabad(25.3792|68.3683), Sanghar(26.0464|68.9481), Khairpur(27.5295|68.7592), Sukkur(27.6995|68.8673)"
Nowshera(34.0153|71.9747),"Charsadda(34.1453|71.7308), Peshawar(34|71.5)"
Okara(30.81|73.4597),"Lahore(31.5497|74.3436), Sahiwal(30.6706|73.1064), Faisalabad(31.418|73.079), Multan(30.1978|71.4711), Sheikhupura(31.7083|74)"
Pashin(30.5833|67),Quetta(30.192|67.007)
Peshawar(34|71.5),"Charsadda(34.1453|71.7308), Mardan(34.1958|72.0447), Nowshera(34.0153|71.9747), Kohat(33.5869|71.4414), Swabi(34.1167|72.4667), Malakand(34.5656|71.9304), Dir(35.1977|71.8749)"
Quetta(30.192|67.007),"Pashin(30.5833|67), Chaman(30.921|66.4597), Zhob(31.3417|69.4486), Dera Bugti(29.0362|69.1585), Kalat(29.0258|66.59), Sibi(29.543|67.8773), Khuzdar(27.8|66.6167)"
Rahim Yar Khan(28.4202|70.2952),"Sahiwal(30.6706|73.1064), Multan(30.1978|71.4711), Khanewal(30.3017|71.9321), Rajanpur(29.1041|70.3297), Dera Ghazi Khan(30.05|70.6333), Bahawalpur(29.3956|71.6722)"
Rajanpur(29.1041|70.3297),"Dera Ghazi Khan(30.05|70.6333), Rahim Yar Khan(28.4202|70.2952), Jaffarabad(28.75|68)"
Rawalpindi(33.6007|73.0679),"Islamabad(33.6989|73.0369), Jhelum(32.9333|73.7333), Gujrat(32.5736|74.0789), Chakwal(32.93|72.85), Attock(33.7667|72.3667), Mianwali(32.5853|71.5436)"
